tanggal,jenis,kategori,nominal,sifat,mood,impulsif,keterangan
2026-06-01,Pemasukan,Gaji,11500000,Need,Happy,No,Gaji bulan Juni
2026-06-01,Pengeluaran,Jajan,150000,Need,Neutral,No,bpjs kesehatan Juni
2026-06-01,Pengeluaran,Jajan,2200000,Need,Neutral,No,Sewa kos Juni
2026-06-02,Pengeluaran,Makan,28000,Need,Neutral,No,Nasi padang makan siang
2026-06-02,Pengeluaran,Transport,22000,Need,Neutral,No,Grab ke kantor
2026-06-02,Pengeluaran,Transport,18500,Need,Neutral,No,Grab pulang kantor
2026-06-03,Pengeluaran,Makan,32000,Need,Neutral,No,Makan siang warteg
2026-06-03,Pengeluaran,Makan,45000,Need,Neutral,No,Starbucks meeting kerja klien
2026-06-03,Pengeluaran,Transport,25000,Need,Neutral,No,Gojek ke meeting
2026-06-04,Pengeluaran,Makan,35000,Need,Tired,No,Makan malam setelah lembur
2026-06-04,Pengeluaran,Transport,21000,Need,Neutral,No,Ojek ke kantor
2026-06-05,Pengeluaran,Jajan,85000,Need,Stressed,Yes,Skincare serum habis FOMO
2026-06-05,Pengeluaran,Makan,18000,Wants,Happy,Yes,Kopi dan pastry weekend
2026-06-06,Pengeluaran,Social,75000,Need,Happy,No,Persembahan ibadah minggu
2026-06-06,Pengeluaran,Makan,42000,Wants,Happy,Yes,Brunch dengan teman
2026-06-06,Pengeluaran,Transport,35000,Need,Neutral,No,Grab ke gereja dan pulang
2026-06-07,Pengeluaran,Jajan,56000,Need,Neutral,No,Laundry baju seminggu
2026-06-07,Pengeluaran,Makan,25000,Need,Neutral,No,Makan malam indomie plus telur
2026-06-08,Pengeluaran,Listrik,420000,Need,Sad,No,Tagihan listrik PLN Mei
2026-06-08,Pengeluaran,Air,95000,Need,Neutral,No,Tagihan air PDAM
2026-06-09,Pengeluaran,Makan,30000,Need,Neutral,No,Makan siang kantin
2026-06-09,Pengeluaran,Transport,24000,Need,Neutral,No,Commute harian
2026-06-09,Pengeluaran,Jajan,120000,Need,Neutral,No,Pulsa dan paket data
2026-06-10,Pengeluaran,Makan,38000,Need,Neutral,No,Makan siang
2026-06-10,Pengeluaran,Transport,20000,Need,Neutral,No,Transportasi
2026-06-10,Saving/Investment,Jajan,1500000,Need,Neutral,No,Beli reksadana pasar uang
2026-06-11,Pengeluaran,Makan,52000,Wants,Stressed,Yes,Makan malam delivery saat stress
2026-06-11,Pengeluaran,Jajan,189000,Wants,Stressed,Yes,Beli dress online impulsif
2026-06-12,Pengeluaran,Makan,27000,Need,Neutral,No,Sarapan dan makan siang
2026-06-12,Pengeluaran,Transport,45000,Need,Neutral,No,Grab bolak-balik klien
2026-06-13,Pengeluaran,Social,150000,Wants,Happy,Yes,Nonton bioskop dengan pacar
2026-06-13,Pengeluaran,Makan,68000,Wants,Happy,Yes,Dinner date
2026-06-13,Pengeluaran,Transport,28000,Need,Neutral,No,Ke mall dan pulang
2026-06-14,Pengeluaran,Makan,22000,Need,Neutral,No,Makan pagi
2026-06-14,Pengeluaran,Social,50000,Need,Neutral,No,Sedekah Jumat
2026-06-15,Pengeluaran,Makan,33000,Need,Neutral,No,Makan siang
2026-06-15,Pengeluaran,Transport,19000,Need,Neutral,No,Ojek
2026-06-15,Pemasukan,Gaji,850000,Need,Happy,No,Bonus project Q2
2026-06-16,Pengeluaran,Makan,41000,Need,Neutral,No,Makan siang rapat internal
2026-06-16,Pengeluaran,Makan,48000,Need,Neutral,No,Starbucks ngopi meeting kerja tim
2026-06-16,Pengeluaran,Transport,32000,Need,Neutral,No,Commute
2026-06-17,Pengeluaran,Jajan,75000,Wants,Tired,Yes,Beli snack dan minuman malam
